date, files, size, loc, avg-anomaly, avg-score, anomalies, expressions
2020-04-14, 231, 2695243, 96223, 1048.411, 34.214, 98, 7344
2020-05-20, 252, 3069383, 109410, 1052.75, 35.893, 117, 8302
2020-06-25, 257, 3191515, 113695, 1051.898, 35.496, 120, 8650
2020-07-31, 271, 3390213, 120737, 1050.662, 35.106, 125, 9124
2020-09-03, 293, 3704020, 133216, 1049.802, 32.653, 130, 10330
2020-10-09, 296, 3798570, 136552, 1049.322, 32.271, 132, 10635
2020-11-14, 296, 3817718, 137223, 1049.258, 32.31, 133, 10695
2020-12-17, 297, 3866356, 138968, 1048.539, 32.389, 136, 10880
2021-01-23, 316, 4091621, 144948, 1047.959, 31.795, 139, 11391
2021-03-02, 401, 5140353, 182169, 1048.418, 31.418, 168, 14068
2021-04-07, 443, 5763064, 202273, 1046.713, 31.218, 180, 15169
2021-05-13, 541, 6517564, 228233, 1044.63, 31.688, 191, 15792
2021-06-13, 544, 6576592, 230290, 1044.28, 31.605, 193, 16009
2021-07-23, 544, 6599500, 231050, 1044.28, 31.538, 193, 16050
2021-08-27, 548, 6650576, 232973, 1043.932, 31.521, 195, 16213
2021-09-30, 565, 7696246, 247765, 1042.874, 31.674, 202, 16659
2021-11-06, 570, 7795028, 250652, 1047.258, 31.985, 206, 16855
2021-12-08, 687, 9221933, 301361, 1046.578, 32.281, 250, 20280
2022-01-15, 690, 9248758, 302335, 1046.617, 32.205, 250, 20341
2022-02-23, 698, 9337914, 305815, 1046.223, 32.108, 253, 20648
2022-03-30, 704, 9446736, 309655, 1049.763, 32.112, 257, 21058
2022-05-05, 710, 9496857, 311014, 1049.57, 32.189, 259, 21152
2022-07-16, 713, 9576125, 314194, 1049.28, 31.994, 261, 21449
